Date,Open,High,Low,Close,Volume
30/1/01,9,9,9,9,1000
26/2/01,9,7.45,7,7,1500
2/3/01,7,6.5,5,5,2500
12/3/01,5,6,5.9,6,1000
2/4/01,6,6,6,6,0
6/4/01,6,4.8,4.75,4.8,10000
10/4/01,4.8,5.5,5.5,5.5,500
26/4/01,5.5,7,5.1,7,4500
17/5/01,7,4.25,4,4,2000
18/5/01,4,4.7,4.5,4.7,1000
21/5/01,4.7,4.1,4.1,4.1,500
24/5/01,4.1,4.65,4.5,4.65,3000
30/5/01,4.65,5.5,5.25,5.5,3000
1/6/01,5.5,5.5,5.5,5.5,5000
7/6/01,5.5,5.9,5.7,5.9,1000
8/6/01,5.9,5.9,5.9,5.9,500
4/7/01,5.9,6,6,6,1000
20/8/01,6,5,5,5,500
1/11/01,5,5.25,5.25,5.25,500
2/1/02,5.25,5.85,5.85,5.85,500
15/1/02,5.85,5.85,5.55,5.55,1000
15/2/02,5.55,6,6,6,1000
18/2/02,6,5.5,5.5,5.5,1500
21/2/02,5.5,5.5,5.5,5.5,1000
4/4/02,5.5,4.75,4.75,4.75,0
5/4/02,4.75,4.5,4.5,4.5,0
11/4/02,4.5,4.25,4.25,4.25,0
12/4/02,4.25,4,4,4,500
15/4/02,4,4.05,4.05,4.05,4500
16/4/02,4.05,4.2,4.2,4.2,0
17/4/02,4.2,4.25,4.25,4.25,0
18/4/02,4.25,4.25,4.25,4.25,1500
30/4/02,4.25,5,5,5,500
3/5/02,5,5.05,5.05,5.05,0
9/5/02,5.05,5.75,5.5,5.75,3000
13/5/02,5.75,5.75,5.75,5.75,2000
31/5/02,5.75,6.25,6.25,6.25,500
10/6/02,6.25,6.5,6.25,6.5,1500
1/7/02,6.5,6.5,6.5,6.5,1000
9/7/02,6.5,7,7,7,500
31/7/02,7,7,7,7,500
1/8/02,7,6.45,6.4,6.4,2000
15/8/02,6.4,7.85,5.85,7.85,500000
16/8/02,7.85,7.75,7.75,7.75,0
19/8/02,7.75,7.7,7.7,7.7,0
4/9/02,7.7,7,7,7,2000
11/9/02,7,6,6,6,1000
12/9/02,6,6.25,6.25,6.25,1000
18/9/02,6.25,6,6,6,500
19/9/02,6,6,6,6,1000
23/9/02,6,5.1,5.1,5.1,500
24/9/02,5.1,5.3,5.25,5.3,500
27/9/02,5.3,5.5,5.5,5.5,0
2/10/02,5.5,5.75,5.75,5.75,0
19/11/02,5.75,6,6,6,500
4/12/02,6,6,6,6,1000
16/12/02,6,6.05,6.05,6.05,0
18/12/02,6.05,6.3,6.3,6.3,0
19/12/02,6.3,7,7,7,1000
22/1/03,7,7.5,7.5,7.5,0
29/1/03,7.5,7.5,7.5,7.5,500
30/1/03,7.5,7.5,7.5,7.5,1000
6/2/03,7.5,7.5,7.5,7.5,500
4/3/03,7.5,7.8,7.8,7.8,1000
26/3/03,7.8,7.1,7.1,7.1,1000
27/3/03,7.1,7.1,7.1,7.1,1000
14/4/03,7.1,8,7.95,7.95,500
15/4/03,7.95,7.65,7.65,7.65,2000
17/4/03,7.65,7.75,7.75,7.75,500
21/4/03,7.75,9.2,9.2,9.2,500
23/4/03,9.2,10.2,10.2,10.2,500
24/4/03,10.2,10,10,10,0
28/4/03,10,9.9,9.9,9.9,0
29/4/03,9.9,9.85,9.85,9.85,0
2/5/03,9.85,9.8,9.8,9.8,0
9/5/03,9.8,9.5,9.5,9.5,2000
12/5/03,9.5,9,9,9,500
16/5/03,9,8.95,8.95,8.95,0
21/5/03,8.95,8.35,8.25,8.25,3000
22/5/03,8.25,9,9,9,2000
23/5/03,9,8.5,8.5,8.5,500
30/5/03,8.5,10,9.5,10,10000
2/6/03,10,10.55,10,10.55,9500
3/6/03,10.55,10.25,10.25,10.25,500
4/6/03,10.25,11.75,10.4,11.75,14500
5/6/03,11.75,12.5,11.75,12.5,8500
6/6/03,12.5,12.7,12.7,12.7,1500
9/6/03,12.7,12.25,12.25,12.25,0
10/6/03,12.25,12,12,12,0
11/6/03,12,12,11.05,11.05,3000
12/6/03,11.05,12,11.5,11.5,2000
13/6/03,11.5,12,11.6,12,3000
16/6/03,12,12,11.75,12,6500
20/6/03,12,11.5,11.5,11.5,500
23/6/03,11.5,11.55,11.55,11.55,0
24/6/03,11.55,11.65,11.65,11.65,2000
25/6/03,11.65,11.65,11.65,11.65,500
30/6/03,11.65,10.85,10.85,10.85,500
3/7/03,10.85,12,12,12,1000
4/7/03,12,12,12,12,1000
7/7/03,12,12,12,12,1000
11/7/03,12,12,12,12,1000
14/7/03,12,12.05,12.05,12.05,0
28/7/03,12.05,13.4,12.75,13.4,10000
29/7/03,13.4,14,13,14,7000
30/7/03,14,14,13.55,13.55,3500
31/7/03,13.55,13.5,13.5,13.5,500
19/8/03,13.5,14.5,14.5,14.5,1000
20/8/03,14.5,14,14,14,0
26/8/03,14,13.75,13.75,13.75,1000
27/8/03,13.75,13.65,13.65,13.65,0
29/8/03,13.65,15,15,15,2000
1/9/03,15,14,14,14,0
2/9/03,14,14.5,14.45,14.45,1000
3/9/03,14.45,14.2,14.2,14.2,0
4/9/03,14.2,13.9,13.9,13.9,0
8/9/03,13.9,13.7,13.7,13.7,0
9/9/03,13.7,13.65,13.65,13.65,0
11/9/03,13.65,13.4,13.4,13.4,0
16/9/03,13.4,12.8,12.8,12.8,0
5/11/03,12.8,12,12,12,1000
13/11/03,12,11,11,11,1000
18/11/03,11,11,11,11,3500
20/11/03,11,11,11,11,500
9/12/03,11,12.5,12.45,12.45,2000
12/12/03,12.45,12.45,12.45,12.45,500
17/12/03,12.45,12.25,12.25,12.25,0
19/12/03,12.25,12,12,12,0
12/1/04,12,11.75,11.75,11.75,500
28/1/04,11.75,11,11,11,5000
30/1/04,11,10.5,10.5,10.5,0
6/2/04,10.5,10.5,10.45,10.5,2000
12/2/04,10.5,10.5,10.5,10.5,1000
19/2/04,10.5,9.5,9.5,9.5,1000
8/3/04,9.5,11,10,10,2500
15/3/04,10,11.1,10,10.35,6000
18/3/04,10.35,10.5,10.5,10.5,0
19/3/04,10.5,12,11,12,10500
24/3/04,12,12.45,12,12.45,12000
25/3/04,12.45,12,12,12,5000
29/3/04,12,12,11.5,12,1000
5/4/04,12,12,12,12,2000
12/4/04,12,11.95,11.95,11.95,0
14/4/04,11.95,11.05,11.05,11.05,500
16/4/04,11.05,11.95,11.95,11.95,500
19/4/04,11.95,11.95,11.95,11.95,1000
20/4/04,11.95,12.25,12.25,12.25,1000
21/4/04,12.25,12.25,12.15,12.15,10000
22/4/04,12.15,12.7,12.7,12.7,500
26/4/04,12.7,13.15,13.15,13.15,1000
28/4/04,13.15,12.15,12.15,12.15,1000
6/5/04,12.15,11.25,11.25,11.25,500
10/5/04,11.25,12,12,12,1000
11/5/04,12,11.3,11.25,11.25,3000
24/5/04,11.25,12.2,12.15,12.15,500
25/5/04,12.15,12.3,12,12,3000
27/5/04,12,12,12,12,500
31/5/04,12,12.35,12,12.35,7500
1/6/04,12.35,12.5,12.05,12.05,2500
2/6/04,12.05,13.55,12.65,13,12500
8/6/04,13,12.5,12.5,12.5,500
10/6/04,12.5,12.95,12.95,12.95,500
14/6/04,12.95,12.1,12.1,12.1,5000
16/6/04,12.1,13.25,13.25,13.25,2500
17/6/04,13.25,12.55,12.55,12.55,500
18/6/04,12.55,13.25,12.55,13,7500
22/6/04,13,13.25,12.75,13.25,2000
24/6/04,13.25,14.5,14.5,14.5,500
25/6/04,14.5,13.5,13.5,13.5,1000
28/6/04,13.5,13.5,13,13,1500
30/6/04,13,14.5,13.05,13.05,7500
6/7/04,13.05,12.75,12.75,12.75,500
19/7/04,12.75,12.55,12.5,12.5,1000
20/7/04,12.5,12.9,12.9,12.9,500
28/7/04,12.9,14.4,13,14.4,16500
29/7/04,14.4,15.9,15.2,15.8,10000
30/7/04,15.8,16.5,15,15,6000
2/8/04,15,15.4,14,14.1,6500
3/8/04,14.1,15.6,15.2,15.6,9000
4/8/04,15.6,17.1,17,17.1,7000
5/8/04,17.1,18.6,18,18.6,10000
6/8/04,18.6,20.1,19.85,20.1,7000
9/8/04,20.1,21.6,21.6,21.6,7000
10/8/04,21.6,23.2,23.2,23.2,4500
11/8/04,23.2,24.9,23.2,23.5,12500
12/8/04,23.5,25.25,23.05,23.5,13000
13/8/04,23.5,23.5,23,23,3500
17/8/04,23,22,22,22,1000
19/8/04,22,20.9,20.9,20.9,500
23/8/04,20.9,21,21,21,500
24/8/04,21,20,20,20,1000
30/8/04,20,19,19,19,1000
1/9/04,19,18.65,18.65,18.65,500
2/9/04,18.65,19.5,19,19,2000
3/9/04,19,20.5,20,20.5,6500
6/9/04,20.5,20.55,20.3,20.3,3000
7/9/04,20.3,20.6,20.6,20.6,500
14/9/04,20.6,19.8,19.8,19.8,500
16/9/04,19.8,20,20,20,0
27/9/04,20,21.5,19.8,21.5,2500
4/10/04,21.5,23,23,23,500
6/10/04,23,22,22,22,1000
12/10/04,22,20.9,20.9,20.9,1000
22/10/04,20.9,21,21,21,1000
28/10/04,21,21,21,21,2000
23/11/04,21,22.55,22.55,22.55,500
